Section,Observable,Scaling,Value at z = 2,Test instrument
§3.1,BTFR normalization A_BTFR(z)/A_BTFR(0),E(z)^-1,0.330,"KMOS3D, KGES, Euclid DR1"
§3.2,MOND radius r_M(z)/r_M(0),E(z)^-1/2,0.574,High-z rotation curves
"§3.1, §3.2",Asymptotic velocity v_flat(z)/v_flat(0) at fixed M_b,E(z)^+1/4,1.320,"KMOS3D, KGES, Euclid DR1"
§3.3,Lensing M_dyn/M_b enhancement,E(z)^+1/2,1.741,Euclid DR1 stacked galaxy-galaxy lensing
§3.4,Free-fall collapse time t_ff(z)/t_ff(0),E(z)^-1/4,0.758,JWST early-galaxy spectroscopy
